Start	End	StartM	EndM	length	lengthM	ch	StartBP	EndBP	iid1	iid2
26814	28991	0.8107119798660278	0.8799650073051453	2177	0.0692530274391174	14	85863843	90980622	results/01_atlas/I0013	FAM001_ID001
32553	35685	1.0103579759597778	1.136101007461548	3132	0.12574303150177	14	97273441	104300829	results/01_atlas/I0013	FAM001_ID001
454	2577	0.217584	0.3175339996814728	2123	0.09995	15	24322419	28246990	results/01_atlas/I0048	results/01_atlas/I0013
3346	4625	0.3606109917163849	0.4376589953899383	1279	0.0770480036735534	15	31370637	34096208	results/01_atlas/I0048	results/01_atlas/I0013
5095	6794	0.4598680138587951	0.5257999897003174	1699	0.0659319758415222	15	35117336	39141606	results/01_atlas/I0048	results/01_atlas/I0013
18396	20526	0.8210809826850891	0.8902930021286011	2130	0.0692120194435119	15	67100851	71704320	results/01_atlas/I0048	results/01_atlas/I0013
3013	5971	0.34504	0.4923909902572632	2958	0.147351	15	29733674	37183026	results/01_atlas/I0048	FAM001_ID001
14535	20397	0.7016500234603882	0.8872849941253662	5862	0.185634970664978	15	58646422	71499260	results/01_atlas/I0048	FAM001_ID001
20680	23706	0.898052990436554	0.9630820155143738	3026	0.0650290250778198	15	71924129	80535710	results/01_atlas/I0048	FAM001_ID001
26295	28833	1.030357003211975	1.1320669651031494	2538	0.1017099618911743	15	87464930	92672853	results/01_atlas/I0048	FAM001_ID001
29362	31863	1.151926040649414	1.2973339557647705	2501	0.1454079151153564	15	93454382	98059661	results/01_atlas/I0048	FAM001_ID001
32795	34407	1.341202974319458	1.4134600162506104	1612	0.0722570419311523	15	99600509	102398060	results/01_atlas/I0048	FAM001_ID001
17	7145	0.139479	0.5392799973487854	7128	0.39980102	15	22796596	39660285	results/01_atlas/I0013	FAM001_ID001
9073	12022	0.5811039805412292	0.641523003578186	2949	0.0604190230369567	15	46036229	53372447	results/01_atlas/I0013	FAM001_ID001
16795	19828	0.777318000793457	0.8649049997329712	3033	0.0875869989395141	15	62897029	70207077	results/01_atlas/I0013	FAM001_ID001
21789	26404	0.9174789786338806	1.0311880111694336	4615	0.1137090325355529	15	75324721	87683530	results/01_atlas/I0013	FAM001_ID001
27572	30457	1.078537940979004	1.2180269956588743	2885	0.1394890546798706	15	90098150	95130130	results/01_atlas/I0013	FAM001_ID001
